index,mark
169588,5
52309,4
71691,5
359166,4
357551,5
355487,4
15696,3
44328,4
22657,5
259315,5
237339,4
170829,4
273966,3
43778,4
55212,4
353875,4
357226,4
52837,4
38664,4
73196,5
188626,3
359377,4
355246,4
359406,4
339553,3
84216,4
63078,4
17083,3
155206,3
81388,5
200700,5
189526,5
246105,4
321165,4
36208,5
293162,5
243058,3
328725,3
254090,3
216632,4
266439,5
66792,3
372383,4
344229,5
217813,4
80498,4
162634,5
218320,5
324609,3
57311,3
75181,4
13933,5
219294,5
43512,4
254845,5
328080,3
307631,3
314394,3
341680,4
286032,3
379111,5
375504,5
169743,4
300016,5
259711,3
196699,4
30634,4
321896,4
368132,3
36198,4
66112,5
209120,5
73654,5
25854,4
245414,4
275195,4
48523,5
50494,3
203634,3
309700,5
373930,3
291708,3
358612,5
251489,3
57739,4
67867,4
263362,5
323506,4
215396,4
239752,4
166637,4
312509,3
160407,3
94336,4
37674,5
194543,4
319589,4
328438,5
175835,4
241506,3
233378,4
35795,5
285169,4
164749,5
20157,5
24697,5
293908,4
25208,4
337727,4
19376,5
201229,3
370672,5
190736,3
221494,4
242907,4
45603,4
21831,5
58027,4
72646,3
65499,5
309070,5
67888,5
195247,4
37237,5
54611,5
365547,4
218862,5
273547,3
323147,4
35657,4
15017,5
5658,5
204842,5
328390,5
268178,3
46671,5
365378,4
43783,5
13994,5
360659,4
78709,5
186043,5
46106,3
183237,3
56585,3
40074,5
284460,3
164954,4
251453,4
241288,4
259992,4
231031,5
2689,5
304015,3
330986,4
261416,4
70314,5
8565,4
163502,4
189938,4
281259,4
44352,5
267490,5
231678,4
275074,5
41041,5
72598,4
299122,4
337809,5
249708,4
281954,3
245785,5
12042,5
313889,4
75263,3
360404,5
3831,4
345597,3
183927,5
85605,3
314424,4
242311,5
310786,5
55043,5
214350,4
159461,4
293253,4
20242,5
168614,4
162014,3
275366,3
10515,5
54011,4
263870,4
185673,5
186583,5
196036,4
256035,4
241042,4
261274,4
169015,4
1448,5
288241,5
313657,5
361171,5
325170,3
24312,5
240420,5
187021,4
51330,5
368348,4
327220,5
26197,4
330305,3
154059,5
369272,4
265864,3
288104,4
74301,5
281082,4
368503,5
209154,3
84730,5
9010,5
45060,5
320614,5
265713,5
54612,4
11645,5
2813,5
5680,3
50970,4
6027,4
25015,4
46781,4
5869,5
15041,4
36773,3
254764,3
194623,5
203489,3
314685,4
367019,3
201720,5
18905,5
352333,4
327273,3
16021,4
9635,4
181622,3
340171,3
338104,3
15859,5
351070,5
278927,5
213876,4
15978,4
29958,3
21491,5
254724,5
4921,5
225331,3
7026,5
54058,5
199085,4
259205,5
220022,4
211629,3
178259,3
13547,5
4016,5
70229,5
265102,5
319234,4
356285,3
89033,4
181465,5
345076,5
255506,4
241922,4
226789,4
153409,5
268220,5
564,5
350837,5
38994,5
262631,5
367433,4
18612,4
72813,5
67343,4
23244,4
9791,5
272691,4
218177,4
275730,4
298174,5
67746,5
51422,5
219981,3
339060,4
42200,5
189911,5
174705,3
65128,5
48938,3
353439,4
72314,5
273712,3
237538,4
57730,4
344755,5
315301,4
176817,3
332449,3
238395,3
321428,3
345505,5
316471,3
210059,3
242240,4
172904,3
293608,3
196246,5
365512,4
262594,4
80172,4
231873,4
213842,4
370110,5
374398,4
62871,4
253534,5
178296,4
253954,5
31163,4
83109,5
306355,5
304598,3
230400,3
46575,3
61883,4
285834,5
51838,4
31997,4
376081,4
210566,3
359722,5
249461,4
52305,4
333847,3
364947,5
300135,5
57839,4
363391,4
354696,3
293805,4
365594,3
373922,5
67906,5
236717,5
203409,3
210234,5
379227,4
314486,3
166774,3
6049,5
35924,4
151977,5
58468,3
4200,5
247189,4
65343,4
169842,3
372374,5
20316,5
327461,5
326285,4
354162,5
49808,4
311591,3
173167,3
17129,5
263177,5
157718,4
35390,4
53065,4
375803,5
364576,5
316966,3
264574,5
63460,4
268887,4
12774,4
85402,4
375517,5
46019,5
255711,4
51258,4
250454,5
371393,5
29723,5
268860,5
191944,4
218456,5
1692,4
279977,5
281868,4
46969,4
158298,5
28292,4
63316,5
240263,4
176545,5
179887,3
337759,5
176014,4
261153,4
361467,5
56879,4
183908,5
239482,3
332679,3
231736,4
266819,5
27965,5
33057,3
14083,5
332169,3
152960,3
370796,4
44561,5
361638,5
368153,3
160505,5
168594,5
228557,4
191975,5
56434,5
52870,5
336690,4
197147,5
233138,3
198096,4
39335,3
284471,4
44651,5
282400,4
244006,5
187716,4
262466,3
258009,5
58018,5
293198,4
251504,4
243733,5
152290,4
193194,5
222756,3
30118,4
155310,4
60439,5
208988,4
70528,4
50669,4
192850,5
74904,5
8351,5
162033,5
266473,3
36514,5
350801,5
3685,4
2582,5
52711,4
712,5
195281,3
247258,3
353844,3
184727,5
350956,5
54927,3
278209,3
17051,5
228822,4
154729,5
18035,4
11989,4
4292,5
251788,4
177661,5
81142,4
271396,4
362195,4
76843,4
207429,4
158792,4
190872,5
186997,4
42059,4
315604,4
41587,5
318190,5
190090,4
157890,3
44386,5
279838,4
43596,5
81625,5
76506,5
222940,5
372145,4
27510,4
232206,3
9989,4
192179,4
44888,5
250553,3
224209,3
175816,5
19269,4
347438,4
52433,5
210860,5
247771,4
236514,5
172445,5
324605,4
326166,5
351265,3
330492,3
212301,5
32086,4
162504,4
23207,4
335975,3
376343,3
357422,4
156474,3
209377,5
370988,5
241401,4
63952,5
338936,4
260971,5
54460,3
307897,3
330598,4
371995,3
340505,4
226515,5
202196,4
74922,5
321204,3
196632,4
369034,5
352971,5
75147,5
11268,4
369627,3
353094,5
354223,4
79953,3
363470,5
24570,5
229034,4
42238,5
161916,3
173887,3
78827,4
164796,3
42442,5
30972,4
308425,5
344043,3
63578,4
246817,5
210877,4
307166,4
362573,5
169501,4
53822,4
9756,5
166469,4
378150,5
179095,5
333323,3
182864,5
166703,4
32818,4
325684,3
334509,4
173175,4
160169,4
364149,4
258839,4
30331,5
369691,4
360255,5
255222,4
239169,4
270979,4
44248,4
240715,3
314857,3
273896,4
345158,4
359376,4
182873,5
30509,4
323197,3
212147,3
193486,5
217909,5
291562,3
252949,4
356741,5
364583,5
362561,4
62833,3
222271,4
317621,3
182399,5
34630,4
8451,4
84130,4
198455,4
307901,4
232717,4
85106,5
34962,5
260168,4
294107,5
369487,5
180500,5
42424,4
154962,4
327460,3
369346,5
200289,3
238171,4
236831,3
176922,3
293941,3
3630,5
363186,4
49063,3
38753,5
353061,5
71166,4
164744,5
330691,5
158807,5
262617,5
263449,5
238266,4
13235,5
203551,3
70282,5
165791,5
362386,5
31714,4
24104,5
353587,4
73542,5
331025,4
354100,4
289969,3
265286,5
175191,4
52030,4
3151,5
164520,3
9374,5
55936,5
49426,5
18731,5
289979,3
303221,5
315718,5
356967,5
299379,3
286785,3
201168,3
43643,4
368950,3
29643,5
246066,4
18036,5
167937,4
243912,4
298,5
316030,3
228095,5
182409,4
174688,4
224246,4
243019,3
329064,4
248709,5
151984,4
231514,5
180014,5
107419,4
194947,4
211536,4
29656,4
63629,4
17121,5
31947,4
291404,5
347669,3
52541,3
44326,5
361479,3
207116,3
267604,4
80964,5
248711,5
155073,3
285025,5
270639,5
173291,4
257246,5
184683,5
284242,3
237634,5
301211,4
265908,3
4986,4
248920,5
203317,5
228781,3
197209,3
206374,3
322607,4
32795,5
21161,4
262049,5
364098,4
335077,3
371031,5
199188,5
268870,3
209994,4
34291,5
207698,3
156930,4
198103,5
325644,4
244829,5
270402,5
207094,4
209608,4
316565,3
9958,5
282440,5
301910,4
6274,4
44021,3
190140,5
62855,4
18145,5
78676,5
215171,3
69828,4
369437,5
245033,5
350568,5
2734,4
320134,5
357947,4
71917,4
58665,4
31931,4
259698,4
297538,4
304501,5
196155,4
188050,3
178107,4
218463,4
2790,4
74344,4
345042,3
49488,5
188727,5
84629,3
346565,4
202899,5
173861,5
157464,3
258742,4
239664,5
228242,3
325311,5
85029,4
342483,4
260726,4
78418,5
206127,4
267596,4
326253,4
61723,5
240095,3
373077,5
285110,3
59735,4
184934,4
188545,4
355603,4
322027,4
53694,3
376391,4
267753,5
371841,4
172867,4
170840,5
216118,5
21326,5
284190,4
222659,5
60732,5
310769,5
336532,4
107559,4
181445,5
26384,5
251852,3
76173,5
46895,4
31868,5
219235,4
299644,5
184466,4
51113,5
176226,4
328653,4
299225,5
72664,4
68891,4
256736,4
208498,5
76440,5
23760,4
267576,4
198684,4
3791,5
1270,4
83351,4
320916,5
55437,4
355622,4
40661,5
182173,5
260717,5
354264,3
205914,3
311494,4
67119,5
55059,4
49192,5
376287,4
168354,3
83367,4
168845,4
319788,4
30869,5
201183,4
261581,4
357159,3
218289,4
3572,5
209902,5
248719,5
313129,4
1336,5
160840,4
160681,5
3886,3
167976,3
270123,5
293298,5
371974,5
230018,4
182404,4
18361,4
71921,5
320579,4
351359,5
53644,3
14226,5
375351,4
278971,4
161194,4
313440,4
32859,4
288907,4
367471,4
35791,4
309474,5
241852,5
280197,4
285430,3
332055,3
244842,4
242059,5
316075,4
344441,4
273330,4
165060,4
367426,3
305630,4
368569,4
30292,4
229364,4
327674,4
336138,5
167447,3
10543,4
22929,4
12679,4
35380,4
272527,4
297360,5
49726,5
262793,4
253513,4
182579,3
241630,3
83715,4
341188,4
247651,5
227145,5
1335,5
20637,5
48898,4
361378,3
160459,4
223828,4
348573,3
30062,4
35061,4
17143,4
184178,5
195342,5
155284,4
17441,3
77975,4
373605,4
67164,5
249156,5
37079,5
351577,3
353259,4
157292,5
163479,4
288876,3
15782,4
299437,4
5941,5
353706,5
347692,3
4608,3
278614,5
152641,4
303280,5
233784,4
350908,3
251845,5
214193,3
205631,5
45791,4
36950,4
324240,4
157011,3
47162,4
379197,4
4247,4
184446,5
304904,4
379534,4
1909,4
57411,5
301102,5
377696,3
160468,4
44972,4
157828,4
207588,5
242104,5
221291,5
366214,4
33030,5
47599,3
192968,4
351349,3
327705,5
180741,5
331231,3
304940,5
75233,4
198494,5
318966,4
317154,5
378023,4
57288,4
241419,3
365065,5
31414,4
301199,4
197508,4
359900,5
39031,3
246828,4
14877,5
38640,5
352872,4
250114,3
252438,5
303036,5
162075,4
361910,5
226003,4
259743,5
74995,4
197580,3
72903,3
231839,3
372820,5
254439,5
180566,3
32381,5
264205,5
8556,4
259545,3
22795,5
68006,5
269355,3
90421,5
257676,4
245421,5
358929,5
375049,5
50620,4
169981,5
346698,5
379184,5
231244,3
204210,5
219812,4
226785,4
74773,5
204198,5
68205,4
48768,5
212286,4
168225,5
12296,4
38942,5
21601,4
7241,4
340989,4
7663,5
2230,4
44179,4
167054,4
302508,5
368615,4
55792,5
369005,5
275951,3
232657,5
220200,4
171950,5
279510,5
316956,4
287647,4
320713,5
68022,4
357241,4
84724,5
287176,3
276975,4
49872,5
70315,5
183728,3
239290,4
313286,3
289813,3
8355,5
168071,4
265569,5
172965,5
173410,4
242767,5
178876,4
243171,3
209239,3
316424,5
355114,5
28871,4
166466,3
154347,5
187701,5
215961,3
358196,4
359074,3
31120,4
2919,5
224515,4
176036,5
313472,3
74335,5
369703,4
184748,4
239515,3
181449,5
331810,3
44255,5
308185,5
164392,3
65389,5
354451,3
63985,5
353228,5
364798,5
276976,3
207389,5
24656,5
370104,4
227938,5
249149,3
196787,5
275474,4
271094,3
84041,5
370068,4
194848,5
213019,4
243718,5
273922,4
49487,3
20081,5
38966,5
247746,3
371191,5
84980,4
297229,5
234077,4
289241,5
38929,5
321826,4
267862,4
261021,5
37485,5
238783,4
305905,5
19184,4
371449,3
78312,5
8555,4
179897,5
34703,3
27234,5
25307,5
4788,5
327725,5
247574,4
196949,5
3477,5
331296,5
366826,4
319433,4
31021,3
238399,3
56715,5
54899,4
57668,4
319829,5
47580,4
321072,4
172532,3
66991,4
293535,3
226171,4
338817,3
232820,4
248614,3
280410,4
39926,4
253415,5
369621,3
358157,5
41868,3
350562,4
161123,5
35035,3
59254,5
258853,4
184637,4
260044,3
46798,3
368245,3
30245,4
345945,4
218273,4
18693,4
35114,5
179212,4
9461,4
316629,4
379324,5
346018,3
75267,4
240430,5
326038,4
17663,4
358562,4
204545,3
76312,5
13327,5
38595,3
345169,4
362630,5
46964,4
356081,5
323832,4
178242,3
357400,5
40520,4
60779,4
228235,3
379514,5
44229,5
21178,5
156642,4
75634,5
370260,3
286198,4
53455,5
355396,4
234509,4
45528,4
167203,4
261128,4
73624,3
87892,4
32590,5
29672,4
202637,4
331542,4
200234,5
298437,4
70872,5
283123,4
349274,5
294355,3
172648,3
11842,5
12482,5
293876,4
6101,5
24338,4
11808,5
202803,3
341588,5
309977,5
174556,4
344062,4
191851,3
360447,4
254625,5
16949,5
182009,4
75050,3
365,4
358120,4
36403,4
328734,3
15958,5
320676,3
70542,5
262839,3
82459,5
173993,4
261227,4
281610,5
4444,4
237695,3
338760,3
272089,5
615,5
189614,4
156596,4
186906,5
329724,5
44987,3
57439,5
78684,5
50296,4
221912,4
241527,5
194011,4
20434,4
250358,4
70446,5
189472,5
201581,5
36829,4
316566,3
77702,3
179912,5
256317,4
36812,5
353594,3
204486,4
272855,4
318047,4
285891,4
279581,3
335847,4
197103,3
204491,5
68110,5
320039,3
65033,3
45581,5
200272,5
30251,5
190078,5
36527,4
364365,4
262011,5
357819,4
224685,5
68972,5
361195,4
300192,4
63531,4
34168,5
226453,5
235708,3
81058,5
55576,5
56692,4
33539,3
60056,3
3000,5
90684,5
46060,5
50865,5
52341,4
326811,4
248064,3
1769,4
34539,4
343669,5
49253,5
66343,5
49926,5
44043,5
259795,4
193038,3
176790,5
46633,3
375757,5
15376,5
247769,3
203986,3
218197,3
215198,4
185444,3
76369,5
239197,4
297333,4
198752,4
286949,3
268120,4
193252,4
203679,4
162021,5
329307,4
34711,4
200009,4
335718,5
72361,4
259755,5
338905,5
240766,3
287286,4
257562,4
289606,4
64212,5
271314,4
233482,3
43942,5
262238,3
41796,4
342512,5
51823,5
37747,5
42332,4
350615,5
36155,4
248815,4
23279,4
357421,5
256332,5
45695,4
199733,3
377790,4
63173,5
284723,5
158675,4
278088,4
371904,3
324220,4
253705,3
302252,4
253490,5
48367,5
315410,4
314079,4
363304,3
318365,5
58745,3
85149,4
159879,3
35943,5
319769,5
223415,4
321466,5
249216,5
85141,5
229599,4
60681,4
319695,5
45710,3
363350,3
50467,5
169986,5
66382,5
6581,4
26431,4
64097,5
269640,4
163640,3
68927,5
210872,3
19318,5
265898,4
284552,5
46006,5
261617,5
313596,4
76106,5
186889,5
241072,5
265410,4
361845,5
40140,5
180162,4
241960,5
362057,3
18572,5
158575,4
264378,5
82526,4
360370,5
188447,5
195405,5
318456,5
368870,4
16891,3
329693,5
283987,4
277287,5
22937,3
23771,5
102754,5
199203,4
859,5
19538,5
318817,5
211529,4
238461,5
10436,4
356860,4
256315,5
365210,4
8559,3
367419,4
71205,4
294285,4
211022,3
377247,4
197981,3
1947,4
261130,5
328705,3
75775,4
1805,5
300456,4
318185,5
300160,3
376353,5
160102,4
377041,5
46123,4
353992,5
306021,5
321205,5
190194,4
10952,4
324436,4
331390,5
26136,3
297825,3
313255,4
152563,3
7095,5
160354,5
371256,5
246448,3
301739,5
377863,3
33966,4
323207,5
352340,5
84951,5
373400,4
277924,4
69481,5
204737,4
18926,4
26808,5
230416,4
207133,4
241349,3
286579,5
354425,3
152506,5
259544,3
69561,4
291393,4
364592,4
288069,3
376748,5
374714,3
170125,4
309279,4
16501,3
300653,4
170165,5
48116,4
275943,5
334548,4
56684,5
369519,5
74145,5
80926,4
27703,5
62707,4
57832,4
261030,5
214816,4
10838,5
337318,3
158573,5
374709,3
217342,5
238360,4
82191,4
272313,4
63006,4
378153,4
4510,5
299966,3
215306,5
243879,4
65587,5
198638,5
258524,4
12208,3
57765,3
378614,5
10173,5
311933,4
342726,5
369135,5
297351,3
13938,4
155280,4
40442,3
14589,3
246645,4
351355,3
72736,5
262324,5
30526,5
332395,4
85400,4
19279,5
319010,4
299720,4
337926,3
375948,5
323967,5
291446,4
78082,5
157816,4
357414,3
4841,5
49451,5
205606,3
305472,3
371637,4
10438,5
348498,5
327099,4
190263,4
290422,4
189474,5
28408,4
360001,5
358855,5
319800,5
22979,5
7635,5
187047,5
336652,3
77654,5
226795,3
154123,3
37372,4
5147,5
256231,4
2644,4
375230,5
253427,5
332721,5
166840,4
312469,4
184235,3
363486,4
326015,4
256454,3
300058,3
13973,5
35038,5
9108,4
374809,5
210121,5
302881,4
71850,5
243041,5
51147,5
260763,5
248896,5
209269,5
57688,5
264137,4
231318,4
214286,4
372733,5
226405,5
273384,3
298729,4
20171,5
47754,5
361403,4
70854,5
239036,4
251121,5
222667,5
291880,3
202452,4
323816,5
7587,4
320959,3
305458,4
27571,5
8303,5
162105,4
75101,3
348525,3
74137,5
66768,3
32504,4
202503,4
9560,3
61461,4
11155,4
312709,5
350945,3
357266,4
265524,4
287322,4
2987,4
187881,4
30022,4
311887,5
276767,4
364075,5
186109,4
235182,3
368720,3
173266,4
247621,5
355998,5
367047,5
238288,3
358948,4
210247,5
285675,3
14236,4
248259,5
302726,4
224738,5
331616,5
195630,4
331223,4
183812,5
44023,4
151988,5
13280,5
218009,3
301603,4
246368,4
45248,4
242030,4
327824,4
214831,5
78853,4
327394,5
317623,4
373602,4
278202,5
240325,3
310324,4
223280,4
233239,5
70589,3
289398,5
41774,5
361196,4
74489,4
52579,4
346874,5
241245,4
9641,4
10458,4
344601,4
298267,4
5188,5
377461,4
199768,4
276561,4
367074,4
66984,4
31020,4
326083,3
353358,5
320824,4
194847,5
260542,3
327723,5
3564,5
39087,4
11742,5
265304,5
189000,5
376542,4
65552,4
209589,4
66113,4
377307,4
365052,4
279346,3
239348,5
76734,5
40962,3
329974,4
292055,3
242075,4
186217,4
52259,4
8632,5
168639,5
2089,4
42239,3
28313,4
67726,5
4283,5
228277,3
268830,3
359090,4
287754,4
197906,5
354344,3
375317,4
280684,4
304135,3
40350,3
68743,4
353867,4
320708,4
265960,4
184445,4
256919,4
314364,4
301618,5
237987,5
35275,4
291458,5
254533,4
370532,5
298201,4
261903,5
177292,4
36618,5
11386,5
268785,3
277759,4
56682,5
379060,4
278456,4
51928,3
65174,4
197374,5
244196,5
372807,5
372314,4
46783,5
350292,4
154734,5
61643,5
23787,4
36172,5
218348,5
260470,4
9938,5
232584,4
73122,5
235475,3
76425,3
45173,4
338231,3
212376,5
245444,3
25092,5
231208,3
22656,5
290604,3
43187,5
323966,4
51801,3
13948,5
48500,4
246961,5
17373,5
4839,5
239651,5
158069,5
246843,5
73512,4
50786,4
168205,5
164219,5
69784,3
313953,4
172659,4
351363,5
82730,5
66894,4
202147,5
323176,4
85358,3
308236,4
30625,5
70880,5
290323,5
173677,5
265450,3
354155,3
290391,5
5761,4
214140,3
45852,5
245732,3
73925,5
10953,3
187224,4
299969,5
263013,4
252401,3
311399,3
331867,5
180053,5
360386,4
206614,3
13768,4
37501,5
244114,4
8051,5
300609,4
348061,5
167132,4
327189,4
83855,4
329380,5
374253,5
310333,4
166483,3
340653,3
259382,5
166839,5
171042,4
324430,5
80785,5
170851,4
182154,4
378827,5
297133,5
287020,3
192188,3
203388,4
66539,4
218096,4
359065,5
251741,4
351260,4
362079,5
333723,5
322569,3
364212,3
12723,5
105925,3
38537,4
236129,5
54298,4
174798,4
78875,5
35479,4
195636,4
3672,5
371431,5
316350,4
194866,3
304545,3
287027,3
351940,4
301093,5
38798,5
18000,5
3245,4
331213,5
194545,4
361245,4
31587,4
366315,4
374933,5
336725,4
63962,5
170101,3
338229,5
379055,3
368864,3
263794,3
337250,5
310270,3
349744,3
355149,5
354754,4
7430,4
173796,4
246900,3
21354,4
2217,4
12024,4
361438,5
214659,5
281123,4
232108,3
222123,5
171107,3
57271,3
352551,4
277155,4
157809,4
211211,4
339289,3
182004,5
326039,3
159333,4
251644,5
334383,3
57534,3
168219,5
29177,4
227330,4
241442,5
360657,3
259794,3
256993,5
23738,5
251717,4
356608,5
28266,5
35047,4
353100,4
174432,5
199971,5
62150,5
318479,3
187589,3
272800,3
38787,4
168104,4
333335,5
77096,4
158659,4
187301,4
252294,5
354121,4
176594,4
22748,3
36723,4
333727,3
295496,5
367254,3
36211,5
227232,4
27485,4
376161,4
12712,5
34330,3
64812,3
71339,4
160212,4
41911,4
187780,4
337819,5
289717,5
208657,5
28987,4
170317,4
15166,3
44753,4
306854,5
260600,4
329696,5
262065,4
158697,5
303019,5
157259,3
43876,5
54511,4
347206,4
221387,3
259430,4
44069,5
16298,4
362618,4
220231,4
18690,5
200342,3
30195,4
320461,4
368719,4
202934,4
374302,5
32275,5
242752,5
245424,5
250134,5
287116,4
324412,3
195876,4
271568,4
154019,4
22356,4
9757,4
74758,5
272779,5
317396,5
334818,4
10781,4
162616,5
11514,4
271714,3
164966,4
260572,4
233429,4
318732,3
22293,5
304602,3
46232,4
62172,5
97037,5
12379,5
42936,4
341548,5
247353,4
57537,5
153656,3
214116,5
360379,4
340489,3
370740,5
322627,5
364103,4
329803,5
178459,5
220952,4
317973,5
345068,4
176685,3
329900,3
37309,5
303878,4
202466,3
162006,3
323543,4
317109,4
314893,3
9593,4
43438,3
60375,4
363777,5
15475,4
377904,5
324241,3
19511,5
365280,5
76871,5
217154,3
370981,4
9404,4
364755,4
202496,5
344355,3
316302,5
174729,5
171685,4
252583,5
265302,4
272533,4
335855,5
242246,4
50761,5
78117,3
283850,4
41983,5
252730,5
46920,5
260670,4
165748,5
186289,4
368871,4
369188,3
70549,5
267721,3
255674,4
218168,3
4235,5
79032,4
285976,5
79448,5
196695,4
51794,4
363351,4
47152,5
21829,5
66432,5
235800,4
16030,5
40108,4
220963,4
158583,5
253352,4
327934,4
245308,3
257381,4
299645,4
236310,5
84960,5
173794,5
374529,5
70018,4
28540,4
340383,4
364312,5
186245,4
21321,5
28638,5
360880,5
56192,5
26737,4
261780,5
246879,5
198310,4
269878,5
72007,4
255266,3
183808,3
172945,5
52128,4
263286,4
279278,4
76356,4
63704,5
55510,5
181516,5
190743,5
74905,5
310357,4
297930,4
152062,3
203968,4
42496,3
56205,4
261909,4
193236,4
204065,3
300848,5
350613,4
165853,4
341356,4
357430,5
273449,5
369306,4
299502,3
326165,5
260625,4
329091,4
51181,5
185136,4
63724,4
3790,4
271571,5
9501,4
338205,4
84768,5
347955,5
244392,5
333564,4
199453,4
13657,5
217344,4
296283,3
269799,5
75435,4
326994,4
38288,5
82503,5
192296,4
188728,4
24760,4
258456,4
301232,5
318519,4
278030,3
225165,5
353208,5
173044,5
28909,3
78235,3
272561,5
63553,3
376931,3
295742,3
231987,4
326670,5
249754,4
212904,4
317522,5
153350,5
6009,5
297491,5
60440,5
288111,4
315006,4
68042,4
21535,5
30256,3
241194,4
73839,5
18222,4
45055,5
264953,3
193873,5
18321,4
317008,3
175488,4
263165,4
326237,4
331744,4
194568,4
174048,4
74806,5
225144,5
327068,4
248194,4
88395,4
240423,4
238473,4
366648,3
229734,5
17131,3
290865,3
291727,4
13550,5
298164,5
161195,4
348357,4
321455,4
291951,3
64881,5
264704,5
353226,5
30133,4
358568,4
6746,4
32443,4
4847,4
65507,3
70481,4
162565,5
313711,3
279693,4
67902,5
42191,3
20942,4
189172,4
72316,5
39289,5
192617,3
370480,5
3371,5
57353,4
354690,5
54241,5
28309,5
319320,5
218752,4
321788,4
13546,4
292737,5
247937,4
57733,4
318100,3
309351,5
40070,3
37788,5
358785,4
18701,5
346870,4
34586,3
298726,4
61471,3
308141,5
294613,5
329515,4
18644,5
344494,4
213569,5
47838,5
316215,4
195291,5
76046,4
54213,3
9446,3
305849,3
239379,4
228849,5
171440,5
68684,5
181537,3
7645,3
258860,5
14156,4
361354,4
22084,4
318244,4
43289,4
163425,3
107618,4
154943,3
312429,5
280614,4
6240,4
201522,3
31071,5
62628,4
364451,4
242156,3
9061,4
30932,5
161393,5
41801,4
31536,3
356819,4
84963,5
193654,3
42224,4
279179,4
194533,4
236366,4
18507,3
81089,4
378950,4
283556,4
280868,3
321943,4
81862,4
191436,4
322498,5
235286,5
211520,4
54035,5
295495,5
364005,5
82740,5
377902,4
16390,3
8163,3
336341,3
216244,3
264495,4
331171,5
373871,4
217721,4
310806,3
311140,4
70868,4
32473,4
341558,5
349690,5
281014,5
359110,4
178480,5
364696,3
16842,3
371988,4
256846,5
377459,4
59869,4
268758,5
53729,4
2402,4
292091,3
293497,5
250026,4
50839,3
280293,4
33875,5
250650,3
372803,4
360333,4
316249,5
7170,3
59357,4
183917,4
177311,5
42192,3
25374,5
210801,4
58920,4
369692,4
79518,4
188819,5
329159,4
81785,4
362571,5
303398,4
346655,3
295299,5
165474,4
11920,5
22047,3
52411,4
36525,4
314621,4
189164,4
288151,3
295691,4
81598,5
23696,3
24346,5
35923,5
4240,5
261998,5
60860,4
14339,4
302934,4
166478,5
239087,5
206613,3
237534,5
250814,3
117171,4
315537,5
375848,4
32138,5
376851,4
257802,5
27483,5
68323,4
904,5
67501,3
354182,4
260826,5
368949,4
55279,4
202645,4
336338,3
311770,5
272130,5
36867,4
2728,4
160574,4
284039,4
247190,5
231207,3
233609,4
263247,4
283601,5
55273,5
61320,4
210129,5
241414,4
293369,5
332377,4
190176,3
364471,4
301225,5
290977,4
71267,5
56507,5
168189,4
347850,5
30058,5
250142,4
165433,4
185204,3
36150,4
34826,3
73431,5
23464,3
355338,5
348574,3
